db_id,prompt,ground_truth,Question,paraphrased_nl
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show the stadium name and the number of concerts in each stadium. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , count ( concert.* )  from concert  group by concert.Stadium_ID",Show the stadium name and the number of concerts in each stadium.,What are the names of the stadiums and how many concerts have taken place in each one?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: For each stadium, how many concerts play there? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , count ( concert.* )  from concert  group by concert.Stadium_ID","For each stadium, how many concerts play there?",What is the count of concerts held at each stadium?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show the stadium name and capacity with most number of concerts in year 2014 or after. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , stadium.Capacity from concert  where  concert.Year >= 2014  group by stadium.Stadium_ID  order by count ( concert.* )  desc limit 1",Show the stadium name and capacity with most number of concerts in year 2014 or after.,What are the names and capacities of the stadiums that hosted the most concerts in the year 2014 or later?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the name and capacity of the stadium with the most concerts after 2013 ? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , stadium.Capacity from concert  where  concert.Year > 2013  group by stadium.Stadium_ID  order by count ( concert.* )  desc limit 1",What is the name and capacity of the stadium with the most concerts after 2013 ?,What are the name and capacity of the stadiums that hosted the most concerts after the year 2013?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Which year has most number of concerts? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select concert.Year from concert  group by concert.Year  order by count ( concert.* )  desc limit 1,Which year has most number of concerts?,What year had the highest number of concerts held?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the year that had the most concerts? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select concert.Year from concert  group by concert.Year  order by count ( concert.* )  desc limit 1,What is the year that had the most concerts?,Which year saw the highest number of concerts?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show the stadium names without any concert. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select stadium.Name from stadium  where  @.@ not in concert.*,Show the stadium names without any concert.,What concert venues do not host any performances?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names of the stadiums without any concerts? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select stadium.Name from stadium  where  @.@ not in concert.*,What are the names of the stadiums without any concerts?,What are the names of the stadiums that have not hosted any concerts?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show countries where a singer above age 40 and a singer below 30 are from. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select singer.Country from singer  where  singer.Age > 40  and  singer.Age < 30,Show countries where a singer above age 40 and a singer below 30 are from.,What countries are represented by singers who are older than 40 and also by singers who are younger than 30.
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show names for all stadiums except for stadiums having a concert in year 2014. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select stadium.Name from stadium  where  except_  @.@ is stadium.*  and  concert.Year = 2014,Show names for all stadiums except for stadiums having a concert in year 2014.,What are the names of the stadiums that did not host a concert in the year 2014?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names of all stadiums that did not have a concert in 2014? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select stadium.Name from stadium  where  except_  @.@ is stadium.*  and  concert.Year = 2014,What are the names of all stadiums that did not have a concert in 2014?,What are the names of the stadiums that did not host any concerts in the year 2014?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Show the name and theme for all concerts and the number of singers in each concert. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select concert.concert_Name , concert.Theme , count ( singer_in_concert.* )  from singer_in_concert  group by concert.concert_ID",Show the name and theme for all concerts and the number of singers in each concert.,"What are the concert names and themes, along with the count of singers participating in each concert?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names , themes , and number of singers for every concert ? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select concert.concert_Name , concert.Theme , count ( singer_in_concert.* )  from singer_in_concert  group by concert.concert_ID","What are the names , themes , and number of singers for every concert ?","What are the concert names , themes , and the count of distinct singers for each concert ."
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: List singer names and number of concerts for each singer. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , count ( singer_in_concert.* )  from singer_in_concert  group by singer.Singer_ID",List singer names and number of concerts for each singer.,"What is the count of concerts for each singer, along with the name of the singer?"
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names of the singers and number of concerts for each person? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , count ( singer_in_concert.* )  from singer_in_concert  group by singer.Singer_ID",What are the names of the singers and number of concerts for each person?,What are the names of the singers and the count of concerts they have performed at for each individual singer?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: List all singer names in concerts in year 2014. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select singer.Name from singer  where  concert.Year = 2014,List all singer names in concerts in year 2014.,What are the names of the singers who performed in concerts that took place in the year 2014?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What are the names of the singers who performed in a concert in 2014? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

",select singer.Name from singer  where  concert.Year = 2014,What are the names of the singers who performed in a concert in 2014?,What are the names of the singers who gave a performance at a concert that took place in the year 2014?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: what is the name and nation of the singer who have a song having 'Hey' in its name? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , singer.Country from singer  where  singer.Song_Name like ""%Hey%""",what is the name and nation of the singer who have a song having 'Hey' in its name?,What are the names and countries of the singers who have a song with the word 'Hey' in its title?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: What is the name and country of origin of every singer who has a song with the word 'Hey' in its title? | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select singer.Name , singer.Country from singer  where  singer.Song_Name like ""%Hey%""",What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,What are the names and countries of origin of all singers who have a song with the word 'Hey' in its title?
concert_singer,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:

Convert text to NatSQL: Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015. | stadium : stadium_id , location , name , capacity , highest , lowest , average | singer : singer_id , name , country , song_name , song_release_year , age , is_male | concert : concert_id , concert_name , theme , stadium_id , year | singer_in_concert : concert_id , singer_id | concert.stadium_id = stadium.stadium_id | singer_in_concert.singer_id = singer.singer_id | singer_in_concert.concert_id = concert.concert_id | 

### Response:

","select stadium.Name , stadium.Location from stadium  where  concert.Year = 2014  and  concert.Year = 2015",Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,What are the names and locations of the stadiums where at least one concert took place in both 2014 and 2015?
